Id,Sales
1,6152.790904847582
2,7568.773256263196
3,7042.234862689316
4,7231.3920425113
5,7074.723392090312
6,7014.043814528243
7,8360.45672937121
8,6739.413349694646
9,6098.691373848113
10,7905.311774534003
11,7577.99178966487
12,7086.798877397515
13,7670.143677762361
14,8132.287208514116
15,6873.334284679727
16,6739.413349694646
17,7074.723392090312
18,10316.825512562456
19,12301.544653757466
20,10646.131664978717
21,7086.798877397515
22,6052.976764953147
23,7505.175312956988
24,6538.071262350764
25,8125.429342020161
26,8163.648005476167
27,8244.298470552028
28,6564.609398108386
29,5694.806541980801
30,5752.115376154393
31,5711.3174320620465
32,11146.797171039374
33,7700.028018522805
34,6696.160134846719
35,6736.857589176241
36,8057.9088785870445
37,5980.000871962085
38,7356.203584979294
39,6205.956661227283
40,7571.373176273363
41,7466.9137544718615
42,6571.379045499164
43,7694.241914267725
44,6899.26533744048
45,5679.603363555801
46,7253.076049447814
47,7580.6185043974965
48,11697.106277287367
49,7939.248538871802
50,9534.873534057246
51,7271.727691628404
52,8422.067362337964
53,7954.402467658955
54,9127.305737322085
55,6098.870795036518
56,6543.094939759621
57,6810.209542742619
58,7622.100046079689
59,7991.673418255514
60,8096.8145760917
61,7222.857281712124
62,7952.742898531293
63,7965.402212611602
64,7991.673418255514
65,7266.570409107305
66,9427.975273363838
67,5841.233936460027
68,7279.143021637424
69,8944.83775899342
70,6249.643587259502
71,6954.937947459519
72,8207.418458206294
73,7965.383235508331
74,7339.799527553825
75,5958.558645135786
76,7965.383235508331
77,7579.84223525676
78,8110.02669002808
79,5229.817609989871
80,7200.915275446188
81,7441.020772812399
82,7157.202148051008
83,6557.474801177779
84,7926.452715784111
85,6572.2560088019945
86,7512.328003775302
87,7346.97751372842
88,7157.202148051008
89,7170.421814973005
90,7233.577841866715
91,8126.3904893174595
92,6780.560189351663
93,6736.6366356982935
94,7580.6185043974965
95,6658.513106765543
96,7308.0911638900025
97,7608.3813778208905
98,6739.413349694646
99,6774.3156660411705
100,6739.413349694646
101,6415.774809871315
102,6179.903168244887
103,8688.994546801478
104,6784.796022178064
105,7675.706171568702
106,6719.009954288506
107,6865.285828732732
108,7633.603975176476
109,7965.383235508331
110,9351.09057451934
111,8452.215931611214
112,7941.999998867624
113,6867.732992250397
114,7926.858237069604
115,7443.9943530386745
116,8267.00550026773
117,7965.383235508331
118,7633.22007805518
119,7601.516221924909
120,7965.383235508331
121,7167.291710359531
122,7525.5476706972995
123,7452.15923349121
124,7571.373176273363
125,6739.413349694646
126,6922.078042316187
127,6235.286574796877
128,7965.383235508331
129,7997.335547587253
130,7181.522150734888
131,7452.15923349121
132,7150.497751276174
133,7610.407373179473
134,7401.143624354104
135,7401.143624354104
136,7259.4324754262725
137,7522.963022713674
138,7571.373176273363
139,5878.276646765121
140,7934.697517125697
141,7401.143624354104
142,4431.34106404319
143,7958.080753766405
144,6739.413349694646
145,8341.277711333609
146,7680.037519016412
147,7937.851274232195
148,8155.130391919392
149,7115.043235691799
150,5502.848366169574
151,11324.286400379055
152,7127.476860714616
153,7548.560471397657
154,7784.086607214066
155,7095.004929410585
156,7819.591162641342
157,5912.584590390977
158,6986.993080306387
159,8097.696946612771
160,5889.259705135398
161,4321.989206139366
162,7257.521541858915
163,8686.761388656405
164,8738.306553761047
165,7780.686301998161
